Site_id,1G.01,1G.02,1G.03,1G.04,1G.05,1G.06,1G.07,1G.08,1G.09,1G.10,1G.11,1G.12,1G.13,1G.14,1G.15,1N.01,1N.02,1N.03,1N.04,1N.05,1N.06,1N.07,1N.08,1N.09,1N.10,1N.11,1N.12,1N.13,1N.14,1T.01,1T.02,1T.03,1T.04,1T.05,1T.06,1T.07,1T.08,1T.09,1T.10,1T.11,1T.12,1T.13,1T.14,1T.15,1T.16,1T.17,1T.18,1T.19,1T.20,1T.21,1T.22,1T.23,1T.24,1T.25,1T.26,1T.27,1T.28,1T.29,1T.30,1T.31,1T.32,1T.33,1T.34,1T.35,1T.36,1T.37,1T.38,1T.39,1T.40,1T.41,1T.42,1T.43,1T.44,2G.01,2G.02,2G.03,2G.04,2G.05,2G.07,2G.08,2G.09,2G.10,2G.11,2G.12,2G.13,2G.14,2G.15,2N.01,2N.02,2N.03,2N.04,2N.05,2N.06,2N.07,2N.08,2N.09,2N.10,2N.11,2N.12,2N.13,2N.14,2T.01,2T.02,2T.03,2T.04,2T.05,2T.06,2T.07,2T.08,2T.09,2T.10,2T.11,2T.12,2T.13,2T.14,2T.15,2T.16,2T.17,2T.18,2T.19,2T.20,2T.21,2T.22,2T.23,2T.24,2T.25,2T.26,2T.27,2T.28,2T.30,2T.31,2T.32,2T.33,2T.34,2T.35,2T.36,2T.37,2T.38,2T.39,2T.41,2T.42,2T.44,3G.01,3G.02,3G.03,3G.04,3G.05,3G.06,3G.07,3G.08,3G.09,3G.10,3G.11,3G.12,3G.13,3G.14,3G.15,3N.01,3N.02,3N.03,3N.04,3N.05,3N.06,3N.07,3N.08,3N.09,3N.10,3N.11,3N.12,3N.13,3N.14,3T.01,3T.02,3T.03,3T.04,3T.05,3T.06,3T.07,3T.08,3T.09,3T.10,3T.11,3T.12,3T.13,3T.14,3T.15,3T.16,3T.17,3T.18,3T.19,3T.20,3T.21,3T.22,3T.23,3T.24,3T.25,3T.26,3T.27,3T.28,3T.29,3T.30,3T.31,3T.32,3T.33,3T.34,3T.35,3T.36,3T.37,3T.38,3T.39,3T.40,3T.41,3T.42,3T.43,3T.44
12up,0,6.118,0,0,0,0,0,0,0,31.498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetobacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.178,0,26.246,0,3.67,0,0,0,17.023,0,0,0,0,0,3.541,0,41.41,0,28.431,0,0,0,0,12.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621,0,28.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acholeplasma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.117,0,0,0,0,3.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0
Achromobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.794,0
Acidibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.893,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.095,0,11.105,0,0,9.231,0,0,8.168,3.476,0,5.171,8.748,10.124,8.904,0,0,0,0,17.436,0,0,0,0,0,0,0,0,0,0,0,2.123,0.504,5.808,0,0,2.788,61.179,0,0,0,0,0,0,4.318,20.412,259.899,45.032,0,0,0,0,0,0,0,0,0,0,0,0,3.84,0,2.278,8.246,0,0,0,4.819,0,0,0,0,59.317,0,19.554,61.131,0,0,0,4.333,0,0,3.66,1.177,0,0,0,0,4.88,0,0,0,0,0,90.785,0,0,0,0,0,0,0,0,0,0,0,48.604,40.164,4.188,2.694,2.669,0.923,0,0,30.866,13.925,36.229,59.025,0,0,0,0,0,0,0,0,0,0,0,0,6.832,0,0,0,0,0,0,7.065,4.286,12.092,115.451,9.253,140.472,5.756,97.485,51.124,40.12,45.338,7.895,39.201,39.28,50.302,0,63.73,59.963,31.156,0,10.04,10.428,0,108.794,84.808
Acidiphilium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidovorax,17.024,0,0,0,91.082,0,0,227.074,0,2.498,12.186,0,7.752,0,2.138,20.447,48.82,0,0,40.117,0,5.551,3.944,3.242,8.733,0.743,0,0,0,0,10.477,0,65.989,0,0,0,6.996,0,0,0,0,0,0,0,0,34.541,0,0,0,0.431,0,0,0,0,0,0,0,0,0,0,0.899,0,0,0,0,0,0,0,0,0,0,0,0,0,4.848,15.513,24.692,0,2.661,614.164,0,0,0,0,0,0,0,0,0,0,0,3.445,0,0,0,0,5.028,0,0,0,0,0,0,0,0,0,18.748,0,38.298,94.734,8.4,0,58.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333,0,10.777,0,0,0.985,0,7.843,25.629,0,76.504,13.959,0,22.31,44.36,9.785,0,80.069,38.713,7.586,38.767,5.753,0,0,0,0,0,0,0,0,0,0,12.923,13.546,13.516,0,0,0,0,0,0,0,47.556,57.448,0,83.777,71.219,14.621,6.496,0,0.739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491,0,0,0,0,0,0,7.271,0,0
Acinetobacter,4.024,0,0,0,22.082,0,0,45.074,0,15.498,124.186,140.675,427.752,0,287.138,593.447,644.82,34.893,0,299.117,517.343,0,138.944,472.242,1400.733,202.743,621.583,460.249,182.168,478.247,109.477,52.178,80.989,27.246,0,6.67,0,68.163,0,12.023,514.143,0,278.236,0,79.694,144.541,25.553,18.41,157.587,35.431,17.94,0,263.165,0,9.908,0,44.619,0,0,68.044,0.899,86.168,99.476,52.385,0,50.748,0,17.904,0,126.943,33.983,0,0,0,0,53.513,30.692,0,0,11.164,0,0,6.428,0,10.123,0,0,0,0,1.788,0,9.445,0,0,3.254,0,87.028,11.318,7.412,45.899,0,0,0,0,0,0,18.748,0,172.298,350.734,89.4,0,729.031,24.84,0,39.278,0,0,0,0,6.819,0,0,0,0,19.317,0,1.554,0,2.44,0,0,27.333,0,38.777,26.66,6.177,20.985,650.216,74.843,529.629,0,18.504,29.959,0.932,22.31,6.36,0,54.055,19.069,0.713,0,81.767,0,35.698,0,0,5.576,10.963,65.604,0,37.188,40.694,56.669,132.923,73.546,99.516,124.866,68.925,39.229,22.025,18.449,35.898,0,77.556,108.448,0,231.777,182.219,15.621,22.496,65.148,15.739,0,0,0,0,13.265,0,4.676,0,112.286,6.092,45.451,1.253,0,52.756,27.485,0,58.12,0,560.895,755.201,123.28,1.302,212.491,4.73,0.963,38.156,291.561,91.04,114.428,115.271,0,0
Actinoplanes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.177,0,0,0,0,0,0,0,0,0,0,35.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas,33.024,91.118,18.753,56.86,29.082,50.181,60.038,68.074,244.856,61.498,69.186,14.675,31.752,0,15.138,17.447,35.82,60.893,113.34,17.117,155.343,11.551,14.944,22.242,2.733,87.743,32.583,25.249,5.168,3358.247,196.477,128.178,371.989,607.246,452.218,81.67,47.996,112.163,90.8,355.023,50.143,544.741,123.236,0,59.694,71.541,85.553,473.41,61.587,112.431,0,13.768,280.165,62.095,155.908,14.105,130.619,12.495,19.231,78.044,0.899,7.168,5.476,13.385,0,0,0,39.904,11.221,19.943,22.983,20.203,1.436,169.393,20.848,81.513,86.692,2.498,124.661,27.164,11.929,54.2,174.428,0,213.123,42.504,62.808,110.001,126.061,59.788,159.179,69.445,74.796,116.72,214.254,321.784,219.028,73.318,280.412,2640.899,37.032,60.088,138.181,125.329,156.608,42.021,136.748,49.241,107.298,140.734,177.4,24.872,6.031,171.84,105.696,70.278,15.246,170.192,0,449.952,96.819,90.005,0,280.64,98.227,110.317,77.655,19.554,874.131,70.44,179.808,84.92,187.333,95.589,712.777,89.66,112.177,169.985,2008.216,619.843,352.629,33.88,77.504,169.959,155.932,123.31,56.36,0,33.055,51.069,45.713,42.586,99.767,4.753,97.698,0,5.548,182.576,273.963,106.604,75.164,2263.188,70.694,80.669,88.923,57.546,30.516,62.866,18.925,33.229,21.025,52.449,124.898,54.065,231.556,502.448,0,423.777,40.219,122.621,45.496,296.148,5.739,59.832,15.35,29.476,2.848,185.265,0,143.676,127.065,348.286,23.092,66.451,111.253,96.472,76.756,15.485,89.124,50.12,39.338,127.895,41.201,58.28,71.302,34.491,9.73,20.963,75.156,21.561,0,23.428,398.271,0,15.808
Aetherobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.231,0,0,0.168,2.476,0,53.171,0,0,15.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKYG587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.105,0,6.495,0,0,0,0,0,0,0,0,0,17.904,0,0,0,11.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,13.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,0,0.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.756,0,0,0,0,11.895,0,0,0,0,0,0,0,0,0,0,0,0,0
Algoriphagus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.138,0,0,5.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alkanindiges,0,0,0,12.86,0,0,2.038,4.074,79.856,6.498,0,0,0,0,0,0,0,16.893,29.34,6.117,12.343,10.551,0,0,0,5.743,0,0,10.168,0,0,0,0,88.246,12.218,4.67,19.996,0,18.8,59.023,142.143,128.741,48.236,0,49.694,4.541,34.553,24.41,85.587,30.431,88.94,29.768,966.165,58.095,25.908,5.105,1.619,0,13.231,5.044,0.899,8.168,0,0.385,0,0,0,9.904,64.221,21.943,0,0.203,0,0,0,2.513,0,0,0,0,9.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.028,12.318,8.412,8.899,0,0,0,0,0,0,0,0,64.298,65.734,28.4,0,21.031,0,0,51.278,0,0,0,0,0,0,0,0,0,14.317,0,5.554,31.131,0,0,16.92,10.333,0,0,3.66,0,0,529.216,7.843,27.629,0,1.504,1.959,45.932,67.31,0,0,45.055,0,0,5.586,0,0.753,23.698,0,13.548,0,12.963,23.604,18.164,42.188,57.694,73.669,154.923,28.546,34.516,71.866,63.925,64.229,104.025,0,6.898,0,6.556,14.448,0,19.777,41.219,110.621,60.496,11.148,64.739,2.832,0,0,0,17.265,0,9.676,0,37.286,12.092,86.451,105.253,75.472,83.756,59.485,36.124,0,47.338,45.895,24.201,16.28,15.302,6.491,0,5.963,0,64.561,15.04,10.428,0,53.794,1.808
Alloprevotella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altererythrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0.932,0,0,2.785,0,0,0,0,0,0,0,0,0,0,0,23.604,27.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.472,3.756,4.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.794,3.808
Anaerocella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquabacterium,38.024,168.118,85.753,184.86,91.082,223.181,181.038,151.074,907.856,454.498,236.186,127.675,497.752,9.919,266.138,174.447,147.82,247.893,502.34,118.117,1495.343,384.551,98.944,184.242,278.733,314.743,251.583,203.249,707.168,3990.247,981.477,142.178,534.989,324.246,622.218,57.67,383.996,183.163,328.8,157.023,187.143,1106.741,358.236,0,301.694,148.541,264.553,255.41,203.587,46.431,231.94,70.768,1878.165,206.095,165.908,183.105,214.619,219.495,40.231,219.044,0.899,53.168,41.476,33.385,39.171,97.748,127.124,2.904,129.221,123.943,81.983,284.203,89.436,10.393,199.848,392.513,279.692,9.498,380.661,25.164,219.929,135.2,52.428,0,148.123,63.504,248.808,15.001,189.061,126.788,68.179,108.445,96.796,58.72,83.254,3.784,575.028,40.318,27.412,382.899,0,266.088,116.181,24.329,86.608,24.021,888.748,23.241,513.298,1998.734,337.4,40.872,31.031,221.84,49.696,129.278,22.246,0,0,0,57.819,42.005,0,120.64,94.227,379.317,80.655,58.554,339.131,111.44,582.808,350.92,318.333,404.589,86.777,450.66,179.177,257.985,942.216,442.843,606.629,73.88,124.504,213.959,477.932,441.31,124.36,124.785,309.055,184.069,139.713,327.586,143.767,142.753,168.698,0,75.548,211.576,444.963,468.604,329.164,315.188,241.694,345.669,297.923,239.546,223.516,291.866,339.925,339.229,173.025,37.449,179.898,34.065,312.556,420.448,14.146,715.777,144.219,320.621,164.496,253.148,12.739,305.832,7.35,309.476,103.848,231.265,31.037,471.676,337.065,376.286,641.092,321.451,219.253,325.472,232.756,246.485,279.124,153.12,144.338,229.895,145.201,255.28,94.302,101.491,151.73,526.963,415.156,38.561,137.04,259.428,119.271,247.794,60.808
Aquaspirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.843,0,0,0,0,0,0,0,0,0,0,0,0,101.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquicella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,0,0,0,7.34,0,0,0,0,0,1.733,0,0,0,2.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.943,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,3.123,0,0,0,0,0,5.179,0,0,0,0,18.784,8.028,3.318,16.412,99.899,2.032,0,0,0,0,0,0,0,0,0,0,0,0,8.84,7.696,3.278,0,0,0,0,0,0,0,0,0,0,0,0,0,16.44,0,0,0,0,0,0.66,1.177,0,0,0,0.629,0.88,7.504,0,13.932,49.31,15.36,8.785,38.055,0,9.713,5.586,0,0,9.698,0,3.548,0,28.963,32.604,28.164,20.188,91.694,35.669,36.923,4.546,4.516,106.866,82.925,75.229,57.025,0,59.898,0,23.556,0,0,0,5.219,4.621,30.496,5.148,0,24.832,0,0.476,0,10.265,0,0,29.065,12.286,8.092,56.451,54.253,0,0,69.485,79.124,29.12,84.338,12.895,23.201,0,4.302,12.491,0,0,0,5.561,19.04,7.428,23.271,149.794,6.808
Aquimonas,0,0,0,0,0,0,0,7.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcicella,0,7.118,0,12.86,11.082,0,2.038,0,96.856,44.498,1.186,0,5.752,0,0.138,4.447,4.82,5.893,6.34,0,28.343,15.551,3.944,0,0,17.743,24.583,42.249,55.168,263.247,0,19.178,5.989,56.246,37.218,13.67,31.996,18.163,11.8,43.023,31.143,0.741,28.236,0,73.694,14.541,11.553,59.41,74.587,22.431,56.94,0,355.165,145.095,52.908,23.105,69.619,38.495,132.231,26.044,0.899,39.168,24.476,30.385,132.171,88.748,196.124,43.904,641.221,13.943,28.983,96.203,25.436,0,0,0,128.692,0,0,0,0,0.2,0,0,0,0,0,0,0,0,6.179,0,0,0,1.254,0,5.028,0,0,0,0,0,0,0,0,0,0,0,12.298,0,14.4,0,26.031,6.84,0,37.278,0,0,43.392,0,12.819,4.005,0,0,1.227,0,0,2.554,0,0.44,0,15.92,26.333,14.589,34.777,7.66,96.177,22.985,529.216,4.843,25.629,0,0,84.959,11.932,113.31,0,0,35.055,3.069,0,17.586,0,0,0,0,1.548,34.576,2.963,53.604,101.164,21.188,50.694,72.669,53.923,2.546,4.516,37.866,80.925,71.229,67.025,15.449,24.898,60.065,0,0,104.146,0,42.219,54.621,48.496,15.148,442.739,18.832,222.35,164.476,261.848,0.265,0,15.676,76.065,11.286,78.092,121.451,52.253,57.472,54.756,33.485,19.124,57.12,24.338,70.895,41.201,49.28,42.302,47.491,56.73,59.963,67.156,46.561,29.04,26.428,10.271,103.794,3.808
